Id;beginn;ende;dauer;sender;titel;typ;text;genre_id;fsk;language;weekday;zusatz;wdh;downloadlink;infolink;programlink;
5515326;04.11.2011 00:00:00;04.11.2011 00:20:00;20;ARD;Nachtmagazin;Magazin;Themen:|* Athen: Wie geht es mit Griechenland weiter?|* Cannes: Schuldenkrise bestimmt G-20-Gipfel|* Potsdam: 100 Jahre Film in Babelsberg;2115;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515326;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMyNg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMyNg==;
5515332;04.11.2011 00:00:00;04.11.2011 00:30:00;30;ARD EINS;ZAPP;Medienmagazin;Medienmagazin;3735;;de;Fri;Medienmagazin;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515332;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMzMg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMzMg==;
5515333;04.11.2011 00:00:00;04.11.2011 00:30:00;30;ARD EINSFESTIVAL;extra 3;Satiresendung;Satiresendung.  Themen:|* Strahlender AKW-Müll in Schneverdingen|* Junge Liberale: Was tun, wenn Kinder ins FDP-Milieu abdriften?|* X-Factor Regierungsedition: Schwarz-Gelb will regieren|* Apple: Weltkonzern gegen Kindercafé;-1;;de;Fri;Satiresendung;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515333;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMzMw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMzMw==;
5515328;04.11.2011 00:00:00;04.11.2011 00:25:00;25;ARD EINSPLUS;Einfach genial;Magazin;Magazin;2115;;de;Fri;Magazin;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515328;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMyOA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMyOA==;
5515334;04.11.2011 00:00:00;04.11.2011 00:30:00;30;BBC WORLD;BBC World News;Nachrichten;;2235;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515334;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMzNA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMzNA==;
5515341;04.11.2011 00:00:00;04.11.2011 01:00:00;60;BIBELTV;Theologisches Symposium Vallendar 2010: Das Evangelium Jesu;;;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515341;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTM0MQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTM0MQ==;
5515335;04.11.2011 00:00:00;04.11.2011 00:30:00;30;CNBC;Tonight Show;;;0;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515335;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMzNQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMzNQ==;
5515340;04.11.2011 00:00:00;04.11.2011 01:00:00;60;CNN;World Report;;;0;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515340;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTM0MA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTM0MA==;
5515329;04.11.2011 00:00:00;04.11.2011 00:25:00;25;COMEDYCENTRAL;Frasier;Sitcom;Sechzig Pfund.  Nachdem sie ihre vielen überflüssigen Pfunde in einer Klinik abgespeckt hat, kommt Daphne nach Hause zurück. Allerdings setzt es prompt Streit mit Niles, der über die Gründe ihrer Fressattacken ganz anderer Meinung ist als die Therapeutin in der Schlankheitskur.;5212;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515329;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMyOQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMyOQ==;
5515338;04.11.2011 00:00:00;04.11.2011 00:55:00;55;DAS4;Heisse Girls;Erotikclips;Erotikclips Deutschland Tschechien 2009 52 min;6604;;de;Fri;Erotikclips Deutschland Tschechien 2009 52 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5515338;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNTMzOA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNTMzOA==;
